year,query,text,emotion
2020,COVID-19,Sad to see this 8 months later and people are still stupid af...,sadness
2020,COVID-19,"Government: Stay at home and self isola-


Introverts: *Say no more*",sadness
2020,COVID-19,You've done in 8 minutes what most TV stations have been unable to do in weeks! Thank You!,sadness
2020,COVID-19,"I remember them saying it takes months to make a video and then i see a title for something fresh in the world.

You really deserve much more than you get, all of you in Kurzgesagt. Many thanks for your hardwork, well done.",joy
2020,COVID-19,"“Slow curve is better”
America: “Coronavirus speedrun any% WR”",joy
2020,COVID-19,We need to translate this in as many languages as possible.,joy
2020,COVID-19,"Social Distancing
Me: ""I was raised by it, molded by it""",joy
2020,COVID-19,I can’t wait for the “who’s here after corona” comments.,joy
2020,COVID-19,"Trust me, In the future we will see comments like:

Who's here after the pandemic has ended",sadness
2020,COVID-19,"Literally everyone: ""I'm gonna wash my hands after this""",disgust
2020,COVID-19,"That's why 
Animation is one of the best way to explain such a topic in an easy understandable way that other medias are still unable to
Kurzgesagt did such a great job..",joy
2020,COVID-19,"Others: “How can someone just stay at home for several days? Ugh”
Me: “First time?”",sadness
2020,COVID-19,"As an actual cashier at a large grocery store for whom “working from home” is not an option — yes, please stay at home as much as you can. You do not need to stockpile more food than you can possibly consume. Just stay calm, because flooding the grocery stores and buying everything makes the problem much, much worse.",sadness
2020,COVID-19,"""To wash your hands properly, act like you've just cut jalapenos and want to put in your contacts next""

That is the best explanation of proper hand-washing strategies that I've ever heard.",ambiguous
2020,COVID-19,"0:28 that monkey has an item of value in his hands, rarer than I may ever have",ambiguous
2020,COVID-19,“A successfully averted catastrophe is indistinguishable from an overreaction.”,ambiguous
2020,COVID-19,"WHO: ""Avoid touching dirty surfaces with your hands you might get sick""
Me, an intellectual: 7:30",joy
2020,COVID-19,"“it gets infected and begins to yell bloody murder”

This is most graphic language we are gonna get from kurzgesagt in probably years.",ambiguous
2020,COVID-19,"I feel like, this video should be played on loop in our hospital waiting rooms, in the TV and should be in everyone's YouTube recommendation.




Edit: YouTube with this many likes, you can see how many people want this video to spread and inform everyone of how the virus really works, so make your YouTube recommendations useful at least once and really put this into people's recommendations list. That's the least you can do as a social sharing platform to help fight the virus.",sadness
2020,COVID-19,"I fw Lucci no matter what , but this sound like the music that I feel in love with listening too from the start with that Wish Me Well Lucci 🔥🖤‼️",joy
2020,COVID-19,Lucci music is for real ni66as with a soul 💯,sadness
2020,COVID-19,“you can’t win if you don’t try”💯,joy
2020,COVID-19,That water shallow it get deeper the more you panic 💚🔥,fear
2020,COVID-19,Imma get a feature with Lucci one day.... like this up for motivation 👇🏾,sadness
2020,COVID-19,R.I.P to everyone we lost to the coronavirus 🙏🏽😷,sadness
2020,COVID-19,Felt this in ever fiber of my being 💚🦠,joy
2020,COVID-19,Bra way too slept on💯,joy
2020,COVID-19,This sounds like wish me well lucci🔥🔥🤢🙏🏽,joy
2020,COVID-19,This song go hard🔥💯covid-19 or not there’s still money to be made🗣💯 #thegrindneverstops,sadness
2020,COVID-19,Snapped 🔥🐍💯,sadness
2020,COVID-19,1 oh the hardest songs be made this a hit🔥🔥,sadness
2020,COVID-19,My homie is standing up for the guys who have to stay home keep pushing that music 2020.,sadness
2020,COVID-19,Talk that shit  Lucci 🎯🔥,sadness
2020,COVID-19,From tha A to tha A. We rockin wid u dawg!!!,joy
2020,COVID-19,Give it to um raw solja slim type shit. I love this dude he tells my life story,joy
2020,COVID-19,🐐💞.. snapped.,sadness
2020,COVID-19,He been on his shyt lately,sadness
2020,COVID-19,Dope ASFFFF aye he be sliding on the beat fr 😭🔥🔥🔥🔥,joy
2020,COVID-19,Here Before 1M Views YFN Lucci x YungPrettySwiff 💯👌👑,joy
2020,COVID-19,"Danm dawg why gotta go so hard🙏

This song makes me wanna get off my ass and chase my dreams💯",joy
2020,COVID-19,Thissss is heateddddd🔥🔥🔥💯💯💯💯💯,joy
2020,COVID-19,THAT BOY SLIDIN W/ THE CORONA FLOW 😷🔥🔥🔥,joy
2020,COVID-19,Straight gas 😩🥶,joy
2020,COVID-19,Yoo back to back 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,joy
2020,COVID-19,my main man took a dub before 17 #freemybigbro real music!!!!,joy
2020,COVID-19,BLACK POWER. BLACK POWER WHAT UP.,ambiguous
2020,COVID-19,💯💯💯🔥🔥🔥🔥Lucci always fire,joy
2020,COVID-19,The Beat Sick ⭐⭐⭐⭐⭐,sadness
2020,COVID-19,Love it 😍 🖤🦋🏁😎,joy
2020,COVID-19,This nigga crazy gone name this shit after Corona Lol ❤,joy
2020,COVID-19,This shit slapped!!! You don’t disappoint,anger
2020,COVID-19,This that OG shit boss 🔥,anger
2020,COVID-19,This the one 🔥🔥🔥,joy
2020,COVID-19,Shit goes hard,anger
2020,COVID-19,Snapped,
2020,COVID-19,Back dis up like 3x5 lucci you be saying some shit bra 🔥🔥🔥🇯🇲🇯🇲🇯🇲🤞🏿,joy
2020,COVID-19,I needed this lucci,sadness
2020,COVID-19,And he is BACK!!✨😝,joy
2020,COVID-19,Real story🔥🔥,joy
2020,COVID-19,best song this tape 🚀,joy
2020,COVID-19,"“It’s easier to fool people than it is to convince them they’ve been fooled.”
Mark Twain",joy
2020,COVID-19,"The truth is that people let their beliefs define their identity, so if their beliefs ever get questioned, they take out personally, like it's an attack on their identity.",sadness
2020,COVID-19,"The man who sprayed sanitizer on the mike after she left
That was something
LOL😂",joy
2020,COVID-19,"""People don't wanna think, Max. They just want to feel safe"" - Daniel (from Camp Camp)",joy
2020,COVID-19,0:36 the DISRESPECT is real 😂 I love this man 😂 The way he sprays sanitizer on the mic.,ambiguous
2020,COVID-19,"The problem in the world is, that the intelligent people are full of doubts, while the stupid ones are full of confidence.",sadness
2020,COVID-19,Anyone else scrolling through the comments section realizing that it’s basically a battlefield,ambiguous
2020,COVID-19,The man spraying the sanitizer is a HERO,joy
2020,COVID-19,This is why you don’t defund education systems,ambiguous
2020,COVID-19,It's so strange that people will believe a story they read from Facebook or something and think that the entire scientific community lying to them makes more sense somehow.,sadness
2020,COVID-19,"“It’s easier to fool people, than convince them they have been fooled.”",sadness
2020,COVID-19,"I swear, humanity has gone down a rabbit hole of lies and misconceptions and the only people who can fix it are people who care.",ambiguous
2020,COVID-19,"When your gut/little voice/instinct/sixth sense is yelling at you you should probably take a serious look at what it’s saying. Wether you’re about to walk down a dark alley, take a swim in the ocean, get on a plane, drive somewhere, etc and you’re getting the feeling of uncertainty you should most certainly stop and reassess your plan, as that sense is formulated from inputs of unconscious logic that our modern day overstimulated conscious side doesn’t have the time to deal with. Don’t ignore doubt, it’s telling you there’s a calculation that isn’t adding up, investigate it, even if millions of others don’t, especially if your freedom of choice is being compromised.",ambiguous
2020,COVID-19,Y’all wild for keeping that guy spraying the mic 😂😂,joy
2020,COVID-19,The US is playing out the real life version of the movie idiocracy.,joy
2020,COVID-19,"I honestly believed this was serious until I was called to go for a covid test back in May after exposure with someone at work. I missed my alarm that morning, so I didn't go. Next day I get a text from the testing site informing me I had covid and to quarantine for 2 weeks. And I never even got tested. I called the site to inform them of the error, and they hung up on me. 😐",sadness
2020,COVID-19,People are going to come to their senses and leave all of these big social media platforms in search for the truth,sadness
2020,COVID-19,They didn't lock down in S Korea or Sweden and they have some of the lowest cases. On top of that they both have a great education system that taught them how to count properly.,joy
2020,COVID-19,“Truth is treason in an empire of lies.”,sadness
2020,COVID-19,That guy sanitising the microphone made me laugh,joy
2020,COVID-19,The craziest conspiracy theory I heard was someone ate a bad bat 😂  priceless,joy
2020,COVID-19,"Some people lack the ability to critically think and filter misinformation. It makes them easier to accept false information.
When you start to trust a TV personality and not a scientist something is truly wrong.",sadness
2020,COVID-19,lol when she left like a boss and then he came to sanitize it that was funny as hell,anger
2020,COVID-19,"There is a difference between falling for false information, and blatantly denying information based on some factual data, instead of believing some ludicrous conspiracy with zero merit.",sadness
2020,COVID-19,If humanity keeps this up we're all gonna die. It's harsh but true. Please take this seriously.,sadness
2020,COVID-19,"Suicides up, overdose deaths up, businesses destroyed, but Walmart is covid safe zone.",sadness
2020,COVID-19,"""If it isn't real than how are so many people I know or knew are sick and dying around me?"" Is the question I always wanted to ask one of these people. How exactly are people getting sick and dying?",sadness
2020,COVID-19,bruh I deadass cackled when the woman said “blah blah something something deep state” and the dude just walked up to the podium and gave it one quick spray with the disinfectant. Idk something about the absolute lack of effort just got me,sadness
2020,COVID-19,Guy gets up sprays the microphone classic!,joy
2020,COVID-19,"In a blind world, the one-eyed man is king",sadness
2020,COVID-19,"Glad that there are still good people in the world, like Andy Pattison, that help keep the spread of misinformation to a minimum.",joy
2020,COVID-19,Bro this really got me convinced if the world was going through a zombie apocalypse we'd all be zombies in less than a week,fear
2020,COVID-19,"""Stupidity ain't a virus, but it sure is spreading like one"".

-Sandy Cheeks",joy
2020,COVID-19,The guy sprayed the mic is history..memes..😂,sadness
2020,COVID-19,"Some people can't handle being proven wrong because that would require, y'know, actual thinking and stuff.",fear
2020,COVID-19,"This reminds me of a joke I heard many years ago.  I think it might have been Monte Python.  And the joke goes like this as best as I can remember:  ""I'm convinced that the vast majority of right thinking people are wrong and the wrong thinking people are right.""  As true today as ever.",joy
2020,COVID-19,All I know is....this world has gone nuts..,joy
2020,COVID-19,"''Do not look for a sanctuary in anyone except your self. Three things cannot be long hidden: the sun, the moon, and the truth.''
~Buddha.",joy
2020,COVID-19,Not saying I believe any of the conspiracies. But the censorship around any aposing veiw is deeply concerning. It is almost impossible to find any videos on YouTube about covid other than what the mainstream media is telling you. Why can I no longer find any videos on YouTube about some guy voicing his concerns about a vacine?,sadness
2020,COVID-19,People developed opinion about facts. The sky is not blue because I don't like the color blue.,sadness
2020,COVID-19,"'Doctor, when will this virus be over?'
Doctor:'I don't know, ask a politician.",fear
2020,COVID-19,This alone tells me this is WAY worse than they are telling us. Period.,fear
2020,COVID-19,"Sounds like a good plot for a movie. Being Quarantined on a cruise ship. At the end of the movie they could fight to take over the boat, but accidentally crash it into the mainland and spread the virus.",joy
2020,COVID-19,"To all the people minimizing this as nothing worse than flu, welding people indoors is the most extreme response to an illness I’ve ever seen. How is this nothing to worry about?",fear
2020,COVID-19,"China: “Everything is fine! Nothing to see here.” 
*meanwhile, citizens being forcibly shoved into a box* 
🧐",joy
2020,COVID-19,"Yes, let's just make it way worse by flying everyone everywhere. Sharing is caring.",sadness
2020,COVID-19,Imagine sneezing in public then having to look around like I hope no one just called the cops,fear
2020,COVID-19,That is terrifying that they put them in boxes. Hearing them scream.,fear
2020,COVID-19,"When the Sewage System on that ship sees it's peak / fill ?.
Why not classify the waste as Hazardous.",sadness
2020,COVID-19,"Ok now I’m getting worried, they never acted like this when Ebola came out. Something they’re not telling us",fear
2020,COVID-19,I can't believe what a kid's mind can think with all this.,sadness
2020,COVID-19,"Quarantined on a cruise liner with a virus
Reporter: “ArE u Ok?” 
Old man: 👍🏻",joy
2020,COVID-19,"“aRe YoU oKaY???”

*casual thumbs up*",joy
2020,COVID-19,"""We're from the government, and we're here to help."" Most terrible thing to hear",sadness
2020,COVID-19,"First of all, the people that are assumed as sick should have not been able to come to America until fully clear. My heart and prayers go out to the people in China, but things will get worse before it gets better. Sad!",sadness
2020,COVID-19,"“ARE YOU OK?”

👍🏼",joy
2020,COVID-19,"""This is the worst outbreak we've seen so far""



*Still allowing constant flights and cruises in and out of China*",fear
2020,COVID-19,The fact these videos were first surfaced back on the 25th on jan means its a whole lot worse now,sadness
2020,COVID-19,Getting put into a metal box with your wife must be a terrifying experience knowing that you will be treated like a lab animal for the rest of the month!,sadness
2020,COVID-19,I love how this comment section is the exact opposite of “don’t panic”,joy
2020,COVID-19,I guess 2020 is the end of us all 🤦🏽‍♂️ R.I.P everyone . Love u guys....,joy
2020,COVID-19,What in the “WALKING DEAD” is going on here??🧐,sadness
2020,COVID-19,"Now, If they have symptoms I doubt they’ll come forward. For fear of being shoved in a cage not fit for an animal. They’re still humans. Treat them as such.",joy
2020,COVID-19,"God help them ,this must be terrifying.",fear
2020,COVID-19,Dont speak out against the Government or the quarentine crew might bust ya door down it was this looks like,anger
2020,COVID-19,The people screaming from inside the metal box is just haunting,fear
2020,COVID-19,Love how the news reporter screams across to the ship! Are you ok!!!  Yup I did my job for today! Lol,joy
2020,COVID-19,"How to test if someone is sick: *""ARE YOU OKAY!?!?!?""*",fear
2020,COVID-19,"I cant imagine the horror the people in wuhan are going through, my prayers are with them :'(",sadness
2020,COVID-19,Whats more inhumane is that we dont hear much from the ones rounded up in quarantine.,sadness
2020,COVID-19,This is crazy! RIP to that poor woman and to everyone who lost their lives. :( I am living in China and have experienced this entire virus first hand. I made a documentary type video with my Chinese girlfriend during this time.,sadness
2020,COVID-19,Bro this is serious people need to wake up to reality,ambiguous
2020,COVID-19,This feels so surreal. Like. I feel like I'm witnessing the intro of a horror zombie movie right now.,sadness
2020,COVID-19,Will that affect their social credit score?,sadness
2020,COVID-19,and yet we are overreacting they say,sadness
2020,COVID-19,"""Welp guys...looks like we're gonna have to quarantine all of you in this cruise ship for an extra 2 weeks..""


Everybody: 🥳🥳🥳🎉",joy
2020,COVID-19,Didn't see any holes for breathing in that metal box. Wonder if the exhaust from the truck is routed into it?,anger
2020,COVID-19,1:39 she like u ok ?? Of course the homie ain’t ok he quarantined how would you feel?????,sadness
2020,COVID-19,"Props to NBC on specifying the location of the person in the, rather than using a misleading title like other stations have to incite panic and get more clicks.",ambiguous
2020,COVID-19,The metal box thing was simply disgusting,disgust
2020,COVID-19,This is insane.,anger
2020,COVID-19,"As a Chinese, the situation is not as bad as you feel, and it is getting better. For a small number of people who are not wise to run to your country, we are helpless. Please treat them rationally.",sadness
2020,COVID-19,"The fact you have doctors who have been doctors for 40 years saying they have never seen anything like this. That means something.

This is not normal.",sadness
2020,COVID-19,Our health care workers are so precious and brave ❤️❤️❤️,joy
2020,COVID-19,I’m a ICU nurse in New Jersey and taking care of critically ill patients with Covid 19 will forever engrave in my memories until I die. Very very sad to see people dying every day with no family around them or priest to give last rites... for us healthcare professionals it’s very stressful and taking so much emotional toll watching patients suffer .... even myself contracted Covid 19 from exposure from my patients... Covid 19 is not a joke. I’m thankful to God that I’m still alive in order to continue my calling as a nurse ...,sadness
2020,COVID-19,This is scary and I never thought I would live during something like this!,fear
2020,COVID-19,"I retired from nursing, early this week. I just turned 64 and felt the risk was too great. I am very fearful for the nation and the world.",fear
2020,COVID-19,"Nurse: ""Have you recently travelled outside the US?""  Reporter (not wearing a mask standing among at least 10 people around him): ""I have"". What an idiot",anger
2020,COVID-19,"We’ve spent billions on military, yet we don’t have adequate health, housing or education systems which are accesible to all",joy
2020,COVID-19,"As I finish a 14 hour shift at my local hospital, your words of gratitude and encouragement mean more to me than you’ll ever know. Thank you so very much.",joy
2020,COVID-19,Man I hate wearing my mask while shopping in the grocery store much less all day. Hats off to health care warriors,joy
2020,COVID-19,This pandemic makes me feel like I'm in a twilight zone.,sadness
2020,COVID-19,"As a nurse, I'm saddened and disgusted.",sadness
2020,COVID-19,The scary part about this is that it was released yesterday and it's already old news.,fear
2020,COVID-19,Hats off to the lab techs busting butt getting those tests done!,ambiguous
2020,COVID-19,This was another excellent documentary from Frontline I think that the journalist who narrated and directed this documentary should get at least five thumbs up I found it very informative very entertaining I loved it👍👍👍👍👍,joy
2020,COVID-19,Thanks to Miles O'Brien for putting things into perspective and Dr. Diaz and his team of health care workers for saving lives and alerting the rest of the country.,ambiguous
2020,COVID-19,Doctor Diaz looks like he could be my family. Respect for all your intelligent and hard work brother.✊🏽,sadness
2020,COVID-19,Frontline needs to do an update on this one. Great job Frontline!,joy
2020,COVID-19,I’m reminded of an adage from an epidemiologist: “Many are infected; few have disease.”  The stealthy contagion of coronavirus is what makes it so insidious.,fear
2020,COVID-19,"That reporter lost his left arm, I've had 4 major surgeries on mine and he gives me hope if I do end up losing mine. Thank you frontline so much. Thank you reporter so very much.",joy
2020,COVID-19,"My Son is a Pilot, based out of Seattle, and is still flying. Have I been worried? Absolutely!",joy
2020,COVID-19,So nice to see Mr. O'brian still doing news. Great job on this one.,joy
2020,COVID-19,Kinda funny that we have a documentary about a crises that’s still ongoing,joy
2020,COVID-19,"Great presentation, as always, Frontline team.",joy
2020,COVID-19,If we don’t accept there is a problem we cannot combat this. Let the recent history (last 3- 4 months) be our education.,fear
2020,COVID-19,This was such a great documentary. Thank you for putting all of this together 💛,joy
2020,COVID-19,Stick to science and tell the truth. Thank you PBS for risking your lives for this documentary . I can’t wait for part 2 or 3,joy
2020,COVID-19,"Excellent. We in Oregon watched our neighbor, Washington, go through these days. And we ourselves got our first presumptive cases in early March. So we have been taking things very seriously for a while now.  We can attest that social distancing works. I've been in social isolation coming up on six weeks. We will begin to open elective surgeries on Monday and sometime soon we hope to open rural counties who have not seen a lot of cases. Precautions still apply. We may start opening up the urban areas by late May.  We've not seen the typical spike happening elsewhere because we got to it quickly.  But if we open up too soon or not with proper precautions we could be right in the thick of it.  We are all in this together.",joy
2020,COVID-19,Who’s ready to see part #2 of the next few months and talk about other topics as this pandemic unravels itself? 🙋🏽‍♀️Im here for it. Thank you Frontline !!,joy
2020,COVID-19,"I've worked in biopharma for some times and I can confirm what the Dr. said at 31:02: putting PPE on, working in it and taking it of is really exhausting. I had to get through 3 stages of containment regularly and put on more and more protection equipment or change the equipment, and working for a few hours under these circumstances is really exhausting.",ambiguous
2020,COVID-19,I'm so disgusted that our government took so much time and wasn't ready to handle this horrific Pandemic that took thousands of lives including the life of my mother. All these lives could've been saved if there was a plan in place.,ambiguous
2020,COVID-19,"Herd immunity is mentioned in the video around 50:27. This can happen when most of the people is immune to an infectious disease (e.g. COVID-19 virus). When that happens, this can provide an indirect protection to those who are not immune to the disease. That's why vaccines are very essential. We cannot be complacent until researchers have found a vaccine for COVID-19. Salute to all our front liners!",joy
2020,COVID-19,Thank God for these health practitioners.,joy
2020,COVID-19,It’s scary how unprepared we were..,fear
2020,COVID-19,Did I just watched the sequel to Contagion (2011)?,sadness
2020,COVID-19,"This is crazy! America is sick, I seriously want to be back in 2019 :/",sadness
2020,COVID-19,My appreciation to all the health care workers out there. I wouldn't be able to handle working at a hospital during a global pandemic.,joy
2020,COVID-19,Thank you for sharing with us.,joy
2020,COVID-19,"FRONTLINE - PBS post more on youtube. Not all of us have Cable service. A lot of us have internet only ( No TV packages )
Thank you",joy
2020,COVID-19,"We need part II, III.  And by the predictions, Part IV or more.",sadness
2020,COVID-19,Frontline please keep us informed!!! Don't stop please!!!,joy
2020,COVID-19,"I  live in WA state, watched this all unfold. Saddest thing ever",sadness
2020,COVID-19,That's the finest animation I've ever seen.,joy
2020,COVID-19,"I became a fan of this channel!


You are doing great, Nucleus!
Please keep us updated...",joy
2020,COVID-19,The first rule of 2021: do not ask about 2020,sadness
2020,COVID-19,"Praying for all the covid patients ..
From Bangladesh...",fear
2020,COVID-19,"My mom's friend got it and getting tested this monday, wish me and my mom luck. Edit: it was negative 🙂",joy
2020,COVID-19,Y'all make the best animations for everything.,joy
2020,COVID-19,"Thank you for the excellent tutorial.  I would also have mentioned that the virus not only enters via mouth, nose, and lungs but also the eyes.",joy
2020,COVID-19,It's great to be updated. Stay safe!,joy
2020,COVID-19,"Very interesting video.
It’s important to spread this information.",joy
2020,COVID-19,His voice is so calm.,joy
2020,COVID-19,One of the most informative video about covid-19  ever seen,joy
2020,COVID-19,I enjoy how your videos are concise. This is one of my best channels for accurate information.,joy
2020,COVID-19,Nucleus has been one of my favorite channels for years. This video is an example why.,joy
2020,COVID-19,Praying for all C-19 Patients 🙏🙏🙏🙏,joy
2020,COVID-19,this channel explains every biological /anatomical and generally scientific worry of mine better than the teachers at my school who are supposed to teach me those things......,joy
2020,COVID-19,"Hi, I am Dr. Magesh T,  I like your channel, it gives a lot of medical knowledge with your aniamtions...I liked this video on corona virus.. Thank you!!",joy
2020,COVID-19,"Aye there's the good old semi robotic man voice and ""Sample Use Only"" text we all know and love. Welcome back.",joy
2020,COVID-19,High-class Animation....👍👍,joy
2020,COVID-19,This is very informative an interesting thank you very much 👍👍👍👍👍👍👍👍👍,joy
2020,COVID-19,Thats the best explanation ever.,sadness
2020,COVID-19,"Great work Nucleus Media,All our biology teachers use ur great and best quality animation to teach us",joy
2020,COVID-19,"Nucelus is most wonderful educational  channel in YouTube 
I gain helpful knowledge through this.
Thanks to all. You make wonderful animation educational channel.",joy
2020,COVID-19,"Let's uplift and cheer up people around u in these pandemic days of covid19. Let's try to heal the world.
Amen. amen..",joy
2020,COVID-19,I've learned so much from this channel I've learned more from this channel than anywhere else!,joy
2020,COVID-19,"Ladies and gentlemen 
Let me say that this is the greatest video about this pandemic",joy
2020,COVID-19,The next generation would probably live with a mask on thinking ‘Mouth’ is now a private part,disgust
2020,COVID-19,"I'm learning a lot from your videos, but a serious question, why are we not using antiretroviral fusion entry inhibitors for Covid-19?",sadness
2020,COVID-19,This is the most understandable video i have ever seen.Great work man. 👌👍,joy
2020,COVID-19,"I would like to hv a video on calvin cylcle...... Could u plz do that for me,.....",joy
2020,COVID-19,"I always love Nucleas channel videos.

All are informative, Good quality videos & Nicely explanations.",joy
2020,COVID-19,I love your video series ....amazing.  I use your videos for my training n teaching on my fb page. ....,joy
