,words,numbers
236,ludwig,2
252,pseudowissenschaftler,2
260,gedicht,2
266,nachricht,2
273,kommunikation alpha,2
280,rätselhafter,2
281,kalter,2
282,rätselhafter kalter,2
283,universum harald,2
284,kalter fleck,2
285,fleck universum,2
287,humanismus,2
288,renaissance humanismus,2
170,flüssigsalzreaktor,2
167,stern,2
166,seltsamste,2
163,formel einfach,2
30,richtig,2
36,schnelle,2
54,kaiserreich musstewissen,2
56,erörterung,2
57,schreiben,2
60,schreiben musstewissen,2
67,paralleluniversen,2
70,gibt,2
75,revolution 1848,2
76,1848 musstewissen,2
77,deutschland,2
81,spermamenge,2
82,sperma,2
95,rechteck,2
102,geheimnis,2
103,planet,2
106,geometrie,2
108,konstruieren,2
111,konstruieren geometrie,2
114,napoleons,2
121,bruchrechnen,2
128,wiener,2
142,periodensystem,2
143,elemente,2
149,kommaregeln,2
150,kommasetzung,2
159,binomische,2
289,humanismus musstewissen,2
291,lineare,2
587,studium,2
524,hüftprothese,2
471,erzählperspektiven,2
473,axiome,2
474,watzlawicks,2
479,isotope,2
481,nationalismus,2
483,winkelfunktionen,2
491,umkreis,2
497,verändern,2
502,innenkreis,2
509,narzissmus,2
510,triade,2
520,schlimm,2
521,lücke,2
525,hüftgelenk,2
302,amerikanische,2
533,lichtausbreitung,2
534,lichtquellen,2
535,optik,2
539,optik musstewissen,2
540,unterschied,2
542,crispr,2
543,spielen,2
555,sternstunde philosophie,2
559,empfänger,2
560,sender,2
573,exponentialfunktionen,2
574,graphen,2
579,knotenpunkte,2
468,überlebe,2
467,fahrstuhl,2
466,absturz,2
459,alternativer,2
309,quader,2
310,oberfläche,2
313,oberfläche berechnen,2
315,säuren,2
329,quadratische gleichungen,2
332,geschichte einfach,2
334,mittelalter leben,2
356,stadt,2
361,winkel,2
367,buchungssätze,2
368,umsatzsteuer,2
375,stahl,2
385,maschinenbaustudium,2
386,mythos,2
392,schule,2
393,motivation,2
403,musstewissen kompakt,2
411,homöopathie,2
422,redoxreaktion,2
423,galvanische,2
428,kirche,2
434,erklärt geschichte,2
435,homogene,2
436,heterogene,2
448,finanzen,2
457,co2,2
458,kraftstoff,2
1033,müller,2
